user_id,name,city,age,monthly_income,avg_mobile_recharge,recharge_frequency_days,utility_payment_delay_days,ecom_transaction_volume,ecom_return_rate,credit_reliability
e844fba0-af8b-427a-8deb-f2fb6c760f5b,Kalpit Singhal,Unnao,20,33049,499,23,27,1154,0.22,51
64bd5ab5-0859-43fd-b69c-eefd0cf68404,Chandani Pau,Karawal Nagar,38,21693,499,30,2,5135,0.19,79
efa6067d-fcc6-45a1-b4b2-edbcf1bf9dcf,Amol Manne,Solapur,47,28650,999,27,45,1828,0.02,59
9df06aea-bf64-4bec-822a-d6241b4ac8c0,Kashvi Dar,Bhilai,34,33364,699,22,17,7307,0.31,53
2fd288c2-1443-426f-ab41-d59f32fabd53,Rayaan Shanker,Gurgaon,36,13555,299,34,16,1771,0.07,66
f77cc7bd-9c1a-4e14-b795-0fa7c7e68f95,Omkaar Nadkarni,Udaipur,28,11967,199,26,22,9959,0.11,70
f0655dd3-8229-40bd-8772-280ce6d2830c,Garima Chana,Ongole,29,24965,699,33,40,5975,0.29,39
d983aada-09f6-4e0d-bc55-5de31621ee9c,Kabir Dubey,Coimbatore,29,18069,699,28,9,5424,0.01,84
67e7edda-2ba4-47aa-8bd9-42408978078a,Faqid Roy,Mangalore,26,31425,999,26,45,5631,0.34,43
70329169-6873-4c9d-94bb-ccd4d7d10ca6,Ayush Kunda,Satara,32,43320,699,31,5,7301,0.16,79
2bf448e1-0eae-4fd5-af76-fe681c1ae19f,Upma Memon,Varanasi,25,34616,499,21,45,8790,0.26,37
4ee02784-9896-49f8-b9c7-f7d76999ed01,Geetika Mahajan,Gandhidham,19,29754,999,22,40,8948,0.31,38
aa0fcac3-9edc-464d-a4e4-b5badd9fd176,Nisha Ray,Guntakal,39,10333,499,21,39,7553,0.11,48
e104880f-0d05-4baa-abdc-ee39f5c10b6b,Chameli More,Haridwar,55,49904,199,23,42,5812,0.04,50
57593c59-eb61-477d-a40a-074d340e7e14,Mekhala Halder,Amaravati,43,18934,199,32,16,7668,0.36,51
cdd31185-0262-40ae-ba0d-3dc9996c4223,Warjas Shanker,Bongaigaon,36,34863,499,35,39,9954,0.25,42
